Name,Source
Clement H. Stevens,P410: military rank - generals in the Confederate Army
Colton Greene,P410: military rank - generals in the Confederate Army
Cullen A. Battle,P410: military rank - generals in the Confederate Army
Daniel Chevilette Govan,P410: military rank - generals in the Confederate Army
Daniel Govan,P410: military rank - generals in the Confederate Army
Daniel H. Reynolds,P410: military rank - generals in the Confederate Army
E. Kirby Smith,P410: military rank - generals in the Confederate Army
Edmund Kirby Smith,P410: military rank - generals in the Confederate Army
Edward D. Tracy,P410: military rank - generals in the Confederate Army
Gabriel C. Wharton,P410: military rank - generals in the Confederate Army
"George Paul Harrison, Sr.",P410: military rank - generals in the Confederate Army
Gilbert S. Meem,P410: military rank - generals in the Confederate Army
Henry Gray,P410: military rank - generals in the Confederate Army
Henry L. Benning,P410: military rank - generals in the Confederate Army
Isaac M. St. John,P410: military rank - generals in the Confederate Army
James Boggs,P410: military rank - generals in the Confederate Army
James Harvey Carson,P410: military rank - generals in the Confederate Army
James T. Holtzclaw,P410: military rank - generals in the Confederate Army
Jeptha Vining Harris,P410: military rank - generals in the Confederate Army
John A. Wharton,P410: military rank - generals in the Confederate Army
John C. C. Sanders,P410: military rank - generals in the Confederate Army
John S. Preston,P410: military rank - generals in the Confederate Army
Joseph B. Palmer,P410: military rank - generals in the Confederate Army
Kirby Smith,P410: military rank - generals in the Confederate Army
Leroy Augustus Stafford,P410: military rank - generals in the Confederate Army
Lucius E. Polk,P410: military rank - generals in the Confederate Army
Marcellus Augustus Stovall,P410: military rank - generals in the Confederate Army
Mathew Ector,P410: military rank - generals in the Confederate Army
Nathaniel H. Harris,P410: military rank - generals in the Confederate Army
Pleasant J. Philips,P410: military rank - generals in the Confederate Army
Preston Smith,P410: military rank - generals in the Confederate Army
Richard Griffith,P410: military rank - generals in the Confederate Army
S. A. M. Wood,P410: military rank - generals in the Confederate Army
Samuel Cooper,P410: military rank - generals in the Confederate Army
"Stephen Elliott, Jr.",P410: military rank - generals in the Confederate Army
Thomas Benton Smith,P410: military rank - generals in the Confederate Army
Thomas M. Logan,P410: military rank - generals in the Confederate Army
Thomas M. Scott,P410: military rank - generals in the Confederate Army
William Duncan Smith,P410: military rank - generals in the Confederate Army
William F. Brantley,P410: military rank - generals in the Confederate Army
William F. Tucker,P410: military rank - generals in the Confederate Army
William Henry Harman,P410: military rank - generals in the Confederate Army
William Hugh Young,P410: military rank - generals in the Confederate Army
William McComb,P410: military rank - generals in the Confederate Army
William Young,P410: military rank - generals in the Confederate Army
Alexander Hamilton Stephens,P27: country of citizenship - Confederate States of America
